Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_14months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM
4.28989,0.31752,0.297173,0.321511,0.317175,0.350507,0.280085,0.303816,0.29311,0.312447,0.28474,0.279291,0.24924,0.266705,0.311829,0.265081,0.269908,0.268419,0.269542,0.274352,0.300067,0.2981,0.305403,0.279358,0.33705,0.330326,0.294911,0.305151,0.314008,0.315823
4.78989,0.315857,0.292383,0.313252,0.311078,0.340922,0.270946,0.30239,0.28307,0.307618,0.280917,0.271737,0.239438,0.26084,0.304793,0.262941,0.263927,0.266892,0.264479,0.271374,0.296926,0.296984,0.304202,0.27525,0.327802,0.324487,0.294321,0.307644,0.314463,0.308553
5.28989,0.307129,0.283952,0.296689,0.299105,0.324016,0.25542,0.293048,0.266514,0.296336,0.270609,0.257032,0.223464,0.248441,0.291523,0.255566,0.251562,0.259387,0.255513,0.26355,0.288559,0.290065,0.29759,0.263498,0.311057,0.310816,0.287129,0.304375,0.308568,0.292554
5.78989,0.294008,0.275574,0.275321,0.281378,0.305743,0.237609,0.278404,0.247251,0.281227,0.256678,0.237839,0.204856,0.232478,0.277555,0.246229,0.238195,0.247313,0.243905,0.253793,0.279173,0.278903,0.288986,0.247875,0.289741,0.289727,0.276701,0.297208,0.299075,0.270017
6.28989,0.281381,0.269772,0.256364,0.261934,0.292125,0.222899,0.264554,0.23126,0.26675,0.244946,0.220018,0.189348,0.217365,0.267506,0.237742,0.229075,0.236242,0.232519,0.246847,0.27203,0.266461,0.282245,0.233387,0.268754,0.267916,0.26675,0.289383,0.290441,0.246816
6.78989,0.273353,0.268417,0.245097,0.246391,0.285743,0.214514,0.257138,0.222571,0.255748,0.240721,0.208442,0.181308,0.207089,0.262403,0.231737,0.225832,0.232125,0.22448,0.245349,0.268728,0.257875,0.278411,0.223029,0.252373,0.252783,0.260051,0.283244,0.285943,0.228245
7.28989,0.270285,0.27019,0.241499,0.237054,0.285168,0.211792,0.257944,0.220482,0.248273,0.24449,0.203944,0.180692,0.201315,0.261277,0.227538,0.22625,0.236932,0.221599,0.247215,0.267254,0.255208,0.276288,0.217178,0.241926,0.247688,0.256544,0.279925,0.285598,0.215786
7.78989,0.270665,0.27426,0.241808,0.233221,0.285702,0.21179,0.263929,0.221677,0.241828,0.252865,0.205696,0.184771,0.198269,0.261419,0.224633,0.226938,0.246713,0.223841,0.249168,0.264529,0.257015,0.273296,0.213745,0.236638,0.250554,0.255817,0.278979,0.28761,0.208436
8.28989,0.27347,0.280033,0.243002,0.233462,0.283886,0.213268,0.269545,0.223997,0.233352,0.261636,0.212059,0.189803,0.197408,0.261691,0.22497,0.227104,0.255234,0.230059,0.24948,0.260637,0.260619,0.268078,0.212854,0.234845,0.255568,0.257232,0.277621,0.288896,0.203833
8.78989,0.276639,0.286783,0.244657,0.238498,0.279909,0.215218,0.270983,0.227933,0.222806,0.267758,0.222472,0.193977,0.198489,0.262043,0.230089,0.228931,0.258845,0.237646,0.248809,0.255983,0.262643,0.261171,0.215054,0.235035,0.257884,0.258761,0.2742,0.288814,0.200672
