Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,,Mean FA 4,MeanFA 0,Average,Rel Beta (4 expos),Exp Betas,Exp Corr Beta (4 exposures)
18.0394,0.353986,0.226879,0.265505,0.218525,0.227963,0.207003,0.22579,0.353425,0.234744,0.225154,0.253512,0.207391,0.205551,0.486554,0.235355,,0.232,0.3070,0.2618,-0.2693037468,-0.036,-0.071
18.5394,0.335612,0.210639,0.241683,0.207972,0.217698,0.183075,0.221781,0.327769,0.217341,0.205832,0.233229,0.186767,0.193622,0.458271,0.222649,,0.215,0.2874,0.2443,-0.2783566186,-0.034,-0.068
19.0394,0.316827,0.197242,0.216518,0.194708,0.208064,0.163258,0.214481,0.300698,0.201261,0.189308,0.217067,0.174619,0.182525,0.425653,0.211929,,0.200,0.2687,0.2276,-0.2880326294,-0.033,-0.066
19.5394,0.298245,0.187654,0.195635,0.176576,0.198668,0.151615,0.205165,0.277633,0.187863,0.178274,0.205665,0.172202,0.172945,0.396221,0.204005,,0.187,0.2535,0.2139,-0.2994990204,-0.032,-0.064
20.0394,0.282626,0.181344,0.18194,0.155165,0.189565,0.146216,0.195476,0.261837,0.178176,0.171976,0.198003,0.175546,0.165278,0.370096,0.197745,,0.178,0.2422,0.2034,-0.3143075824,-0.032,-0.064
20.5394,0.277745,0.17694,0.173894,0.137229,0.184012,0.144477,0.187294,0.254781,0.172832,0.16874,0.194657,0.179276,0.161661,0.352571,0.192289,,0.171,0.2364,0.1972,-0.3309636357,-0.033,-0.065
21.0394,0.282211,0.171674,0.166951,0.122577,0.181177,0.142048,0.179972,0.253521,0.169335,0.165057,0.194035,0.180988,0.162394,0.335758,0.185746,,0.166,0.2334,0.1929,-0.3523925991,-0.034,-0.068
21.5394,0.300487,0.162027,0.158975,0.12007,0.183014,0.138599,0.172217,0.257802,0.167529,0.157892,0.196573,0.17996,0.168913,0.32263,0.175382,,0.162,0.2342,0.1908,-0.37482883,-0.036,-0.072
22.0394,0.343773,0.144095,0.149156,0.132319,0.194825,0.137336,0.164478,0.267138,0.166561,0.147677,0.203934,0.174738,0.181744,0.335851,0.158429,,0.160,0.2436,0.1935,-0.3870781374,-0.038,-0.075
22.5394,0.345971,0.134864,0.151241,0.125946,0.193759,0.130567,0.163626,0.265859,0.164459,0.140161,0.200949,0.174249,0.176299,0.32095,0.151136,,0.156,0.2391,0.1893,-0.4075404696,-0.039,-0.077
23.0394,0.340629,0.126484,0.156392,0.123162,0.195368,0.128707,0.167056,0.272935,0.16799,0.135474,0.205969,0.181212,0.169856,0.315209,0.14808,,0.156,0.2380,0.1890,-0.4143309742,-0.040,-0.078
23.5394,0.316579,0.122491,0.15634,0.126306,0.194007,0.125155,0.169559,0.281735,0.166596,0.13361,0.209367,0.184082,0.16616,0.317538,0.148794,,0.156,0.2358,0.1879,-0.4199832392,-0.040,-0.079
24.0394,0.290008,0.11884,0.154056,0.12897,0.188387,0.119985,0.168613,0.290867,0.15976,0.131234,0.209444,0.182231,0.163677,0.315475,0.153541,,0.153,0.2326,0.1850,-0.4298263113,-0.040,-0.080
24.5394,0.271081,0.113742,0.150899,0.126299,0.181998,0.116409,0.165336,0.297299,0.152553,0.128636,0.209392,0.179553,0.158492,0.306178,0.159031,,0.149,0.2286,0.1811,-0.4430226832,-0.041,-0.080
25.0394,0.260574,0.109036,0.147584,0.119,0.174774,0.114138,0.160353,0.300836,0.145792,0.125889,0.209398,0.17702,0.151357,0.29264,0.164598,,0.145,0.2245,0.1769,-0.4578032418,-0.041,-0.081
25.5394,0.256435,0.101597,0.141172,0.107035,0.163303,0.113566,0.151448,0.297199,0.140951,0.122014,0.210136,0.173206,0.141766,0.273282,0.165846,,0.139,0.2180,0.1706,-0.4781163458,-0.041,-0.082
